Timestamp,ProfitPercentage
2016-07-01,21.025677104791004
2016-07-02,22.053791602452588
2016-07-03,26.355916738510132
2016-07-04,27.369385381539658
2016-07-05,30.139260431130722
2016-07-06,30.099770685036972
2016-07-07,31.280239423116047
2016-07-08,31.360822876294453
2016-07-09,30.346708357334133
2016-07-10,29.361041704813626
2016-07-11,31.686885297298428
2016-07-12,35.89234391848246
2016-07-13,35.84620829423269
2016-07-14,33.61341700951258
2016-07-15,29.029885450998943
2016-07-16,31.414343734582264
2016-07-17,34.39083335796992
2016-07-18,35.11047915617625
2016-07-19,32.40357287724813
2016-07-20,34.01276046037674
2016-07-21,35.667364796002694
2016-07-22,37.45765654246012
2016-07-23,38.414562582969666
2016-07-24,40.5425835053126
2016-07-25,41.157426953315735
2016-07-26,40.401885549227394
2016-07-27,40.00103120009104
2016-07-28,40.552135467529304
2016-07-29,40.62103132406872
2016-07-30,41.33328145742417
2016-07-31,38.2690010070801
2016-08-01,35.96707308292389
2016-08-02,35.60731257994969
2016-08-03,31.552781184514362
2016-08-04,33.13198945919673
2016-08-05,34.15347905953725
2016-08-06,36.22505235671997
2016-08-07,34.76020836830139
2016-08-08,34.53012482325235
2016-08-09,33.66906257470449
2016-08-10,32.16542728741963
2016-08-11,31.017916540304814
2016-08-12,31.182760417461385
2016-08-13,32.473208387692765
2016-08-14,32.4622291525205
2016-08-15,32.46511463324229
2016-08-16,32.21960415442784
2016-08-17,31.530166705449414
2016-08-18,32.76490652561188
2016-08-19,35.1632812221845
2016-08-20,32.72085418303807
2016-08-21,28.772687435150136
2016-08-22,28.023041685422253
2016-08-23,29.171989619731892
2016-08-24,29.582385400931035
2016-08-25,29.98835418621699
2016-08-26,25.906739652156826
2016-08-27,25.302979111671444
2016-08-28,25.47659373283386
2016-08-29,25.782874921957653
2016-08-30,26.672520935535434
2016-08-31,25.0440006256103
2016-09-01,27.660333295663197
2016-09-02,27.59946878751119
2016-09-03,28.245791753133133
2016-09-04,26.73404177029928
2016-09-05,26.240104357401535
2016-09-06,22.39521872997284
2016-09-07,21.604583382606506
2016-09-08,24.436052044232685
2016-09-09,26.26661455631256
2016-09-10,26.084791719913486
2016-09-11,23.892343719800312
2016-09-12,23.311958392461147
2016-09-13,25.234052161375683
2016-09-14,22.923635284105924
2016-09-15,19.07431249817212
2016-09-16,17.306833336750664
2016-09-17,22.848208308219906
2016-09-18,24.55841666460037
2016-09-19,23.2584271232287
2016-09-20,23.396958351135243
2016-09-21,22.692052026589703
2016-09-22,22.217187603314713
2016-09-23,22.500031312306707
2016-09-24,23.59261459112167
2016-09-25,24.137093782424916
2016-09-26,24.270489533742264
2016-09-27,24.49761454264322
2016-09-28,18.285791625579193
2016-09-29,10.971906195084257
2016-09-30,14.896031330029167
2016-10-01,19.18057298660278
2016-10-02,19.799062500397362
2016-10-03,22.170364518960312
2016-10-04,22.505927006403596
2016-10-05,24.15759380658467
2016-10-06,20.566218773523957
2016-10-07,18.150218655665718
2016-10-08,19.963864485422775
2016-10-09,18.302687466144565
2016-10-10,18.1305000782013
2016-10-11,17.693000157674163
2016-10-12,17.16757308443388
2016-10-13,16.904479126135517
2016-10-14,15.370749980211263
2016-10-15,17.888645778099704
2016-10-16,20.618239561716713
2016-10-17,19.73817718029022
2016-10-18,19.151989718278244
2016-10-19,19.97345830996831
2016-10-20,16.285364657640454
2016-10-21,17.278239578008662
2016-10-22,13.091927051544184
2016-10-23,15.263104150692627
2016-10-24,17.651947965224586
2016-10-25,13.771145830551786
2016-10-26,10.695677032073341
2016-10-27,13.091864640514059
2016-10-28,11.82783332963784
2016-10-29,9.069645861784617
2016-10-30,13.190833320220307
2016-10-31,13.1549997329712
2016-11-01,10.895739585161209
2016-11-02,13.84296876192093
2016-11-03,17.494406342506412
2016-11-04,18.013958334922787
2016-11-05,19.503666718800865
2016-11-06,18.22644795974096
2016-11-07,13.43702083826065
2016-11-08,9.682249988118807
2016-11-09,10.00907295942306
2016-11-10,12.592854122320809
2016-11-11,15.259489566087725
2016-11-12,16.75941661993663
2016-11-13,18.752625097831093
2016-11-14,18.995166728893917
2016-11-15,14.334666639566422
2016-11-16,13.015687495470047
2016-11-17,15.186885416507726
2016-11-18,17.185177187124893
2016-11-19,19.590927143891644
2016-11-20,14.101635426282883
2016-11-21,14.66515630483628
